SGD_ID	GENE_ID	Ferm density fold change (KO/WT)	Resp density fold change (KO/WT)	Ferm P-value (KO vs WT)	Resp P-value (KO vs WT)	YPG_Phenotype	CLS(Days)	CLS-%Change	Mean RLS	Maximum RLS
YAL046C	AIM1	NA	NA	NA	NA		39	-2.5	NA	NA
YLL001W	DNM1	1.111151388	1.04705601	0.390491229	0.736285515		33	-17.5	25.848	49
YLL014W	EMC6	1.071467417	0.995626313	0.463017398	0.961528627		41	2.5	21	43
YAL048C	GEM1	1.123680671	1.150885952	0.420869698	0.230761443	rho0	35	-12.5	31.689	55
YAL010C	MDM10	NA	NA	NA	NA		36	-10	NA	NA
YLL006W	MMM1	0.161719898	0.370663722	0.001702908	0.002426242	rho0	40	0	19.2	25
YLL013C	PUF3	0.783237115	0.871134037	0.116552184	0.455530994		44	10	23.659	40
YLR056W	ERG3	0.428260667	0.621676052	0.007715094	0.001764509	rho0	41	2.5	26.2	41
YLR077W	FMP25	0.922187682	0.782962588	0.59938091	0.054172515		39	-2.5	22.6	33
YLR069C	MEF1	0.120884656	0.48710865	0.000761962	0.004534356	rho0	12	-70	31.44	69
YMR015C	ERG5	0.724839229	0.466039943	0.067453586	0.00393603		40	0	25.933	49
YMR002W	MIX17	NA	NA	NA	NA		55	37.5	NA	NA
YMR006C	PLB2	1.014223395	1.032982264	0.934534673	0.743843483		36	-10	22.6	33
YML052W	SUR7	0.898065666	0.890990822	0.4372642	0.282679419		39	-2.5	20.6	26
YMR221C	FMP42	NA	NA	NA	NA		39	-2.5	NA	NA
YMR241W	YHM2	1	1.0469578	1	0.625036809		40	0	34.6	40
YMR302C	YME2	1.013198177	1.089439194	0.961589275	0.206695433		40	0	20.4	26
YNL249C	MPA43	0.973923775	1.143167845	0.89073059	0.01660851		36	-10	22.2	29
YOR356W	CIR2	1.184904141	1.324192571	0.365262408	0.015409205		39	-2.5	27.8	36
YOL008W	COQ10	0.565700821	0.587625901	0.08462016	0.000814013	rho0	42	5	32.4	43
YOL009C	MDM12	0.117744548	0.273297146	0.001458134	0.00157965		49	22.5	14.6	18
YOR090C	PTC5	1.242878214	1.209122097	0.482718248	0.197315657		33	-17.5	28	47
YOL027C	MDM38	0.829773421	0.815648809	0.182696527	0.112172023		41	2.5	28.043	55
YPL149W	ATG5	1.005496919	0.929070706	0.96748083	0.486934536		50	25	26.289	52
YPL172C	COX10	0.725524124	0.489011494	0.035738696	0.002870367	rho0	10	-75	26.985	52
YPL103C	FMP30	1.183740049	1.583229424	0.13837355	0.002507445		47	17.5	33.6	49
YPL222W	FMP40	1.167861279	1.241244898	0.412850472	0.326382994		34	-15	33.4	48
YPL135W	ISU1	1.289247272	1.698843674	0.128059594	0.021512996		42	5	35.2	44
YPL168W	MRX4	1.005279271	1.196301608	0.980038408	0.052323593		37	-7.5	28.4	38
YPL109C	YPL109C	0.771529816	0.858383984	0.387058038	0.161076811		39	-2.5	26.908	56
YBR179C	FZO1	0.55949498	0.547025257	0.047134329	0.039571046	weak	45	12.5	26.118	54
YBR230C	OM14	NA	NA	NA	NA		45	12.5	NA	NA
YBR242W	YBR242W	0.949977796	0.98273566	0.674707375	0.857077581		50	25	27.65	42
YDR070C	FMP16	0.976177528	0.992710521	0.838706785	0.954890981		28	-30	18.6	29
YDR347W	MRP1	0.680965058	0.567814334	0.256674469	0.00063588	rho0	14	-65	19	34
YDR109C	YDR109C	1.162159102	0.957442424	0.439326145	0.718624157		39	-2.5	30.84	55
YEL052W	AFG1	1.253650553	1.395776494	0.252417943	0.009809233		44	10	24.4	33
YDR380W	ARO10	0.934009115	1.052850433	0.664706437	0.50965846		41	2.5	30.008	47
YPR083W	MDM36	1.03431526	1.023811734	0.804595496	0.82352454		43	7.5	21.8	25
YEL024W	RIP1	0.734496617	0.420294781	0.041567145	0.002033502	rho0	10	-75	22.991	55
YDR393W	SHE9	0.229566077	0.442655638	0.000880227	0.002370524	weak	42	5	19.4	27
YER017C	AFG3	0.233096681	0.545363981	0.004353494	0.034699098		19	-52.5	27.633	69
YER069W	ARG5	NA	NA	NA	NA		50	25	NA	NA
YER004W	FMP52	1.127030157	1.229315205	0.448162848	0.072451394		42	5	21.2	31
YER019W	ISC1	0.592262662	0.758502744	0.009560952	0.132177093		43	7.5	13.089	37
YGR132C	PHB1	1.072254295	1.108518706	0.682594039	0.480796176		36	-10	14.53	38
YPR011C	YPR011C	1.13198177	0.959926595	0.619737005	0.514910561		32	-20	25.924	58
YGR207C	CIR1	0.827513094	1.049838297	0.302112581	0.784989531		40	0	21.2	31
YGR181W	TIM13	1.105585416	0.993611486	0.638631551	0.939485991		38	-5	21.2	31
YHL014C	YLF2	1.163569048	1.523113278	0.567820563	1.11225E-05		42	5	21.2	31
YHR116W	COX23	0.594264343	0.484536146	0.040930545	0.001730972	rho0	40	0	27.205	54
