SGD_ID	Gene_ID	FermDensityFC	RespDensityFC	CLS	MeanRLS	MaxRLS
YLR304C	ACO1	0.687529294	0.494351019	17	26.193	52
YJL200C	ACO2	1.076951741	0.915066773	46	27.414	58
YEL052W	AFG1	1.253650553	1.395776494	44	24.4	33
YER017C	AFG3	0.233096681	0.545363981	19	27.633	69
YAL046C	AIM1	NA	NA	39	NA	NA
YJR100C	AIM25	1.104346201	1.214071709	29	27.52	47
YPR004C	AIM45	1.137492823	1.222323143	40	30.48	53
YER069W	ARG5	NA	NA	50	NA	NA
YDR380W	ARO10	0.934009115	1.052850433	41	30.008	47
YGL180W	ATG1	0.964270028	1.043202388	31	27.496	74
YPL149W	ATG5	1.005496919	0.929070706	50	26.289	52
YBL099W	ATP1	0.362580817	0.47641904	5	7.575	27
YJL180C	ATP12	0.266181361	0.412256724	3	7.625	23
YJR121W	ATP2	0.084536425	0.472970686	19	14.223	46
YBL098W	BNA4	1.170129675	1.181596434	35	32.6	39
YKR036C	CAF4	0.896507857	1.050392056	40	27.4	38
YCL064C	CHA1	1.360740294	1.13048167	41	27.785	51
YGR207C	CIR1	0.827513094	1.049838297	40	21.2	31
YOR356W	CIR2	1.184904141	1.324192571	39	27.8	36
YGR110W	CLD1	1.137492823	0.951924157	35	27	46
YBR003W	COQ1	0.724189147	0.57882076	7	20.364	42
YOL008W	COQ10	0.565700821	0.587625901	42	32.4	43
YLR290C	COQ11	1.140640531	1.798626654	18	30.2	35
YNR041C	COQ2	0.61304149	0.579554522	6	24.867	48
YOL096C	COQ3	1.088506468	0.56634681	15	21.086	38
YDR204W	COQ4	0.60686662	0.575885713	5	17.533	30
YML110C	COQ5	0.746830336	0.57882076	10	21.657	42
YGR255C	COQ6	0.70152052	0.478549488	27	26	37
YOR125C	COQ7	0.648032419	0.576619475	46	21.067	42
YLR201C	COQ9	0.697431378	0.567814334	22	18.733	45
YPL172C	COX10	0.725524124	0.489011494	10	26.985	52
YLR038C	COX12	0.735993922	0.482069812	31	19.4	27
YHR116W	COX23	0.594264343	0.484536146	40	27.205	54
YLR348C	DIC1	1.21099904	0.754344566	42	23.267	44
YLL001W	DNM1	1.111151388	1.04705601	33	25.848	49
YCL045C	EMC1	1.098693099	1.211394884	46	19.4	34
YJR088C	EMC2	1.187176567	1.072894788	39	30.8	35
YKL207W	EMC3	NA	NA	33	NA	NA
YGL231C	EMC4	1.00340321	0.972299981	39	20.4	28
YIL027C	EMC5	NA	NA	40	NA	NA
YLL014W	EMC6	1.071467417	0.995626313	41	21	43
YLR056W	ERG3	0.428260667	0.621676052	41	26.2	41
YMR015C	ERG5	0.724839229	0.466039943	40	25.933	49
YNL125C	ESBP6	1.079189062	1.063304365	40	23.956	47
YKL187C	FAT3	0.843764647	1.015801531	41	22	27
YDR539W	FDC1	1.122493366	1.222024837	39	20.6	30
YIL065C	FIS1	1.554611743	0.947392909	34	25.4	33
YER182W	FMP10	1.122515571	1.271897558	37	23.15	45
YDR070C	FMP16	0.976177528	0.992710521	28	18.6	29
YBR269C	FMP21	NA	NA	40	NA	NA
YLR077W	FMP25	0.922187682	0.782962588	39	22.6	33
YLR454W	FMP27	0.993193579	0.929292056	43	23.96	56
YPL103C	FMP30	1.183740049	1.583229424	47	33.6	49
YPL222W	FMP40	1.167861279	1.241244898	34	33.4	48
YNL168C	FMP41	1.022683957	1.352588697	49	22.4	34
YMR221C	FMP42	NA	NA	39	NA	NA
YER004W	FMP52	1.127030157	1.229315205	42	21.2	31
YGL220W	FRA2	0.938966172	0.926350072	38	19.2	23
YOR271C	FSF1	1.154086785	1.165193667	37	23.8	38
YBR179C	FZO1	0.55949498	0.547025257	45	26.118	54
YAL048C	GEM1	1.123680671	1.150885952	35	31.689	55
YHR100C	GEP4	0.224824946	0.601417723	29	15	24
YPL059W	GRX5	0.172672495	0.38843056	23	21	23
YDL119C	HEM25	0.569004823	0.530102658	35	25.6	36
YMR110C	HFD1	1.504281037	2.036805342	39	27.6	38
YER078C	ICP55	1.019453079	0.977186408	40	25.4	34
YNL037C	IDH1	0.867083356	0.900582036	37	32.592	67
YOR136W	IDH2	0.89972955	0.682652592	47	30.841	63
YJL082W	IML2	1.028446791	1.206492084	30	17.6	21
YGR031W	IMO32	0.950218116	1.099804507	48	28.6	43
YER019W	ISC1	0.592262662	0.758502744	43	13.089	37
YPL135W	ISU1	1.289247272	1.698843674	42	35.2	44
YOR226C	ISU2	1.021229158	1.337792901	38	19.8	38
YIL125W	KGD1	0.884311821	0.711036331	41	25.651	56
YDR148C	KGD2	0.854822677	0.667956885	21	24.188	51
YLR239C	LIP2	0.619905037	0.526612477	10	30.8	46
YLL007C	LMO1	0.912892032	0.91404545	24	18.8	33
YKL150W	MCR1	0.995336258	0.885438903	19	25.4	39
YAL010C	MDM10	NA	NA	36	NA	NA
YOL009C	MDM12	0.117744548	0.273297146	49	14.6	18
YLR368W	MDM30	0.875278699	0.678266106	51	27.24	50
YOR147W	MDM32	1.181471653	1.71114224	38	20.72	35
YKL053C-A	MDM35	0.530013451	0.725955002	38	16.8	21
YPR083W	MDM36	1.03431526	1.023811734	43	21.8	25
YOL027C	MDM38	0.829773421	0.815648809	41	28.043	55
YJL112W	MDV1	1.140643169	1.150068649	40	25.8	39
YLR069C	MEF1	0.120884656	0.48710865	12	31.44	69
YJL102W	MEF2	0.624568779	0.486450253	11	32.424	73
YJR010W	MET3	0.891774949	0.897783778	40	31.506	58
YOR211C	MGM1	0.37904714	0.525428662	9	23.293	48
